org_key,year,event_key,team_key,driverYearsOnDriveTeam,humanPlayerYearsOnDriveTeam,canHumanPlayerScore,coachYearsOnDriveTeam,driveBaseMultiSelect,DrivetrainQuality,driveBaseLength,driveBaseWidth,robotHeight,robotWeight,HopperCapacity,electricalWiring,mechanicalQuality,canPickupFuelGround,canPickupfuelHumanPlayerstation,canDrive Bump,canDriveUnderTrench,ProgrammingLanguage,usualStrategy,StartHumanPlayer,StartCenter,StartDepot,describeAuto,TowerClimb,comments
steelcity,2026,2026ohmv,frc117,"1","1","1","2","Custom Swerve","1","29","25","21.5","114","45","1","1","1","0","0","1","Java","Cycle and score Push fuel ","1","0","1","Double swipe on center ","L1","Thrifty swerve No climb "
steelcity,2026,2026ohmv,frc144,"2","1","1","2","Custom - See Notes","2","26.5","26.5","21","114.9","40","1","2","1","1","0","1","Java","not sure","1","0","1","go to neutral zone, get fuel, score. runs twice","L1","MK5N chassis base. doesn’t climb"
steelcity,2026,2026ohmv,frc325,"2","1","1","1","WCP Swereve X2","1","26.5","26.5","20.5","115","40","1","1","1","0","0","1","Java","Shoot into alince side","1","0","1","Go under trench collect fuel go back shoot repeat","L1","No climb"
steelcity,2026,2026ohmv,frc379,"4","4","1","2","Custom - See Notes","thrifty","25","29","22","112","40","","","1","0","0","1","java","offense maybe defense","1","0","1","1 swipe","L1","no climb"
steelcity,2026,2026ohmv,frc432,"3","1","1","2","WCP Swereve X2","1","21","21","21","95","20","2","1","1","1","0","1","Java","Shooting ","0","0","1","8 preloaded ","L1","No climb "
steelcity,2026,2026ohmv,frc451,"2","1","1","4","SDS MK4 LT4","1","27","27","21","107","10","2","1","0","1","0","1","Java","defense, shuttling fuel","0","1","0","drive back and score preloaded 8","L1","no climb"
steelcity,2026,2026ohmv,frc554,"3","1","1","3","Andy Mark Swerve and Steer","2","28","28","28","108","Up to 50","2","1","1","1","0","0","Java","Tires to score two cycles per period ","1","1","1","Score, pick up, come back and sometimes score","L1","No climb"
steelcity,2026,2026ohmv,frc578,"0","0","1","3","Custom - See Notes","","27","27","21 ¾","106","8","","","1","0","0","1","Java","Cycles","1","1","1","Start anywhere, don't have an auto","L1","SDS MK4I swerve modulesNo climb"
steelcity,2026,2026ohmv,frc677,"4","3","1","2","SDS MK4 LT4","3","27","27","22","103","finding out today","3","2","1","0","0","1","Java","bring balls to more efficient shooters or just shoot themselves ","1","1","1","just choose which side to start. Shoot and climb","L1",""
steelcity,2026,2026ohmv,frc695,"5","0","1","4","Custom - See Notes","1","27.5","27.5","29","114.2","60","1","1","1","0","0","0","Java","","1","0","1","Go out intake go back score repeat","L1","Sds mk5 n swerveNo climb"
