org_key,year,event_key,team_key,driverYearsOnDriveTeam,humanPlayerYearsOnDriveTeam,canHumanPlayerScore,coachYearsOnDriveTeam,driveBaseMultiSelect,DrivetrainQuality,driveBaseLength,driveBaseWidth,robotHeight,robotWeight,HopperCapacity,electricalWiring,mechanicalQuality,canPickupFuelGround,canPickupfuelHumanPlayerstation,canDrive Bump,canDriveUnderTrench,ProgrammingLanguage,usualStrategy,StartHumanPlayer,StartCenter,StartDepot,describeAuto,TowerClimb,comments
steelcity,2026,2026paca,frc63,"1","0","0","5","Custom - See Notes","1","Max","Max","22","Unknown","14","1","1.5","1","1","0","1","Java","More points in auto not a ton in teleop","0","1","0","","L1",""
steelcity,2026,2026paca,frc117,"2","1","1","2","Custom - See Notes","2","29","25","21.6","114","35","2 ","1","1","0","0","1","Java ","Collect balls (2 cycles in auto) ","1","0","1","Collect fuel and shoot ","L1","Thrifty bot swerve No climb "
steelcity,2026,2026paca,frc340,"3","1","1","7","Custom Swerve","2","26","26.5","28",">100 estimate 130","75","1","2","1","1","0","0","Java","Go to middle and shoot into alliance side","1","0","1","Get balls from center shoot and grab from depot","L1","Swerve is sds mk5 n with r2 gear ratio"
steelcity,2026,2026paca,frc451,"3","0","1","3","SDS MK4 LT2","1","27","27","21","111124","Can hold 10 not sure if max ","1","1","1","0","0","1","Java ","Passing ","1","1","1","Just diving out ","L1","No climb "
steelcity,2026,2026paca,frc709,"1","1","1","3","Mechanum","1","25","35","22","80","0","1","1","0","0","0","1","Java","Defense, climb l3 ","0","1","0","Climb l3","L3",""
steelcity,2026,2026paca,frc1317,"2","2","1","15","Custom Swerve","1","27.5","27.5","22","106","20","1","1","1","1","0","1","Java","Mostly saying In mural and shooting deffence on bump and trench","1","0","1","Anything","L1","Start anywhere, the article over hump don’t plan to"
steelcity,2026,2026paca,frc1511,"2","3","1","2","SDS MK4 LT4","2","30","25","21","114.26","45","1","2","1","1","0","1","Java","Ball cycle feed if needed ","0","0","1","Under trench Score average 30 points","L1",""
steelcity,2026,2026paca,frc1601,"2","1","1","2","WCP Swereve X2","1","27","27","22","110","30","1","1","1","0","0","1","Java","Shoot pass and shoot again ","1","0","1","Trench intake at the middle go back to the trench shoot from there","L1","No climb"
steelcity,2026,2026paca,frc1708,"3","2","1","20","Custom - See Notes","1","","33 with bumper Without 25.5 ","","108 ","45+","1","1","1","1","0","0","Java ","Pick up and score consistently ","1","0","0","Pick up balls and shoot x2 (40 ball)","L1","Swerve marx4 I Drive coach 22 years Maybe climb "
steelcity,2026,2026paca,frc1816,"1","1","0","4","Custom Swerve","1","27","27","21","114","30","2","2","1","1","0","1","Java","Score during active periods and passing during inactive periods","1","0","1","Intake from center then shoot then intake from center again ","L1","No climb"
