Scouter Initials,Match Number,Team Number,No Show,Auto Fuel,Auto Climbing Status,Auto Human Player Score,Teleop Fuel,Teleop Fuel Passed,Endgame Climbing Level
abc,1,5045,True,3,False,6,131,26,L1
abc,1,5744,False,14,True,12,49,27,L1
abc,1,4630,True,10,True,10,20,12,None
abc,1,21,False,13,False,6,152,35,L2
abc,1,3824,True,9,True,2,175,22,L1
abc,1,1466,True,4,False,3,12,200,L1
abc,2,4576,False,12,True,16,98,55,L1
abc,2,4306,False,6,True,15,116,79,None
abc,2,3984,True,7,False,10,190,32,L1
abc,2,4020,True,15,True,7,144,123,L2
abc,2,3504,True,3,True,14,64,105,None
abc,2,3324,False,2,False,1,198,3,L2
abc,3,3843,True,10,True,12,97,15,L3
abc,3,233,False,9,False,8,93,74,L3
abc,3,4504,False,13,False,6,37,134,L3
abc,3,3821,False,10,True,12,152,100,L3
abc,3,5847,False,8,False,3,168,80,L3
abc,3,5816,False,5,False,1,10,47,L3
abc,4,3937,True,2,False,5,64,13,L2
abc,4,9152,True,6,False,8,108,13,None
abc,4,538,False,2,True,10,46,120,L3
abc,4,3966,False,13,True,14,96,62,L2
abc,4,9668,True,5,True,4,25,62,None
abc,4,1592,False,0,False,16,33,38,L1
abc,5,4265,False,5,False,0,194,156,None
abc,5,10479,True,15,True,10,44,112,L2
abc,5,4467,False,15,False,1,102,34,L1
abc,5,801,True,1,True,7,78,92,L1
abc,5,7483,False,0,True,9,85,76,L3
abc,5,3140,False,15,True,1,71,20,L1
abc,6,6517,True,6,False,4,49,29,L3
abc,6,7072,False,6,True,4,155,147,None
abc,6,7428,False,15,True,6,0,198,None
abc,6,7255,False,3,True,16,108,12,L2
abc,6,2614,False,5,False,9,68,23,L3
abc,6,8570,True,9,False,9,63,65,None
abc,7,10101,True,11,True,15,16,119,L2
abc,7,1708,True,5,True,11,78,150,L1
abc,7,3492,True,15,True,9,45,0,L1
abc,7,2393,True,11,False,14,70,52,L3
abc,7,2856,False,10,True,8,75,125,None
abc,7,5002,True,0,False,11,141,1,None
abc,8,1014,False,12,True,4,39,151,L1
abc,8,4065,True,2,True,1,9,54,None
abc,8,10269,False,16,True,12,110,152,L2
abc,8,5816,True,5,False,9,192,91,L2
abc,8,3139,True,2,False,15,68,125,L2
abc,8,10137,True,2,True,1,82,21,L1
abc,9,5045,False,7,True,7,146,183,None
abc,9,1466,False,11,False,3,109,85,L3
abc,9,9152,False,6,True,2,151,89,L1
abc,9,3324,True,15,False,3,14,68,None
abc,9,3843,False,3,False,15,128,199,None
abc,9,538,True,13,True,5,131,10,L1
abc,10,3821,False,0,False,14,7,81,L2
abc,10,4576,True,3,False,7,179,149,L1
abc,10,3966,True,7,False,1,14,124,L2
abc,10,5744,False,15,False,12,91,135,L1
abc,10,3140,False,13,True,11,33,135,L3
abc,10,3824,False,6,False,0,120,12,L2
abc,11,7255,True,5,False,11,0,127,None
abc,11,4630,False,8,False,6,188,51,None
abc,11,7483,False,7,False,9,112,64,None
abc,11,233,True,12,False,4,129,116,L2
abc,11,3984,False,1,True,14,168,96,L3
abc,11,2614,False,8,False,3,194,107,L1
abc,12,1592,False,16,True,16,122,84,L3
abc,12,4020,False,12,True,1,173,72,L2
abc,12,5002,False,9,True,12,180,66,L3
abc,12,2856,True,15,False,3,156,119,L3
abc,12,10479,True,12,True,14,195,175,L2
abc,12,7428,False,10,False,3,122,12,L2
abc,13,3139,False,2,False,3,148,195,None
abc,13,4065,False,11,False,11,107,162,L1
abc,13,801,False,2,True,5,40,50,L1
abc,13,10101,True,11,True,13,139,160,L1
abc,13,8570,True,16,True,4,91,183,L1
abc,13,21,False,4,True,7,6,21,L2
abc,14,9668,True,7,False,15,152,99,L3
abc,14,7072,True,3,False,6,167,23,L3
abc,14,4504,False,13,False,13,39,119,L2
abc,14,1708,False,1,False,5,73,171,L2
abc,14,4467,True,9,False,0,71,116,L3
abc,14,3504,True,13,False,4,184,54,L1
abc,15,1014,True,8,True,3,111,153,L3
abc,15,3492,True,12,False,1,29,54,L2
abc,15,6517,False,1,False,4,175,38,L1
abc,15,4306,True,1,True,12,26,73,L2
abc,15,2393,False,9,False,6,145,150,L1
abc,15,3937,False,4,False,3,172,125,L3
abc,16,4265,False,4,False,11,173,109,L1
abc,16,5847,True,11,False,7,189,174,L1
abc,16,3324,False,7,True,0,73,142,L2
abc,16,4630,False,4,False,4,71,45,L3
abc,16,10137,False,10,False,13,45,39,L2
abc,16,10269,True,0,True,1,117,76,None
abc,17,2614,True,13,True,8,69,107,L1
abc,17,7483,True,4,True,3,150,129,L1
abc,17,3966,False,12,False,9,37,109,None
abc,17,7255,False,13,True,8,118,9,None
abc,17,4576,True,14,False,12,147,57,None
abc,17,5002,False,1,True,12,42,89,L3
abc,18,3139,False,16,True,2,134,85,L1
abc,18,10479,True,8,True,7,113,157,L1
abc,18,5744,False,14,True,10,39,105,L3
abc,18,3843,True,13,False,10,161,87,L1
abc,18,10101,True,8,True,13,22,115,L3
abc,18,5816,True,5,True,16,49,18,L1
abc,19,2856,True,1,True,10,170,132,L1
abc,19,5045,True,2,False,3,190,62,None
abc,19,21,True,15,False,7,28,140,L2
abc,19,3504,True,14,True,1,103,47,None
abc,19,8570,True,8,True,13,167,89,L1
abc,19,9152,True,11,True,3,25,142,None
abc,20,233,True,0,True,14,6,97,None
abc,20,2393,True,6,False,8,96,32,L2
abc,20,4065,True,13,True,10,91,66,L1
abc,20,1466,True,3,True,2,177,72,L2
abc,20,3937,True,12,True,3,113,0,None
abc,20,3140,True,10,False,15,51,147,None
abc,21,538,True,0,False,6,14,171,L2
abc,21,1592,True,5,False,1,139,74,None
abc,21,3492,False,2,True,2,49,73,L2
abc,21,6517,True,6,True,6,91,97,L1
abc,21,5847,False,15,True,2,94,161,L1
abc,21,801,True,13,True,5,89,46,L3
abc,22,1014,True,3,True,0,26,171,None
abc,22,4265,True,4,False,1,162,39,L2
abc,22,3984,False,10,False,0,119,169,None
abc,22,1708,True,13,False,15,46,65,L1
abc,22,3821,True,0,True,9,18,155,L2
abc,22,9668,False,12,False,12,115,38,L1
abc,23,3824,True,7,True,12,141,161,L3
abc,23,4467,True,12,True,5,185,107,None
abc,23,10137,False,10,True,7,113,136,L1
abc,23,4306,True,2,True,2,9,19,L1
abc,23,7428,False,7,False,15,105,19,None
abc,23,4504,False,1,False,13,95,197,L1
abc,24,10269,False,15,False,10,104,145,L3
abc,24,4020,False,0,False,2,27,127,L1
abc,24,5744,True,3,False,4,152,49,None
abc,24,8570,False,6,True,1,114,37,L2
abc,24,4630,True,9,False,2,95,63,L2
abc,24,7072,False,15,True,6,55,122,L2
abc,25,4065,True,12,True,2,26,87,None
abc,25,10101,True,3,True,3,51,5,L1
abc,25,2856,False,9,True,9,87,25,L2
abc,25,233,True,5,True,12,117,161,L2
abc,25,3324,True,6,False,0,156,4,L1
abc,25,7483,True,9,False,1,101,16,L1
abc,26,3966,True,7,True,7,166,71,L3
abc,26,7255,False,9,True,14,166,185,L1
abc,26,3140,False,14,False,0,132,4,L2
abc,26,21,True,15,True,2,38,7,L3
abc,26,1592,False,8,False,0,199,84,None
abc,26,5847,True,12,False,8,165,27,L1
abc,27,10479,False,10,False,12,140,91,L2
abc,27,2393,False,2,True,12,135,195,L3
abc,27,1014,False,6,False,0,152,199,None
abc,27,5045,True,3,True,16,180,117,L1
abc,27,3984,False,15,True,0,20,1,L3
abc,27,538,False,3,True,12,80,199,L1
abc,28,7428,False,7,True,13,7,101,L2
abc,28,4467,False,0,True,14,150,162,None
abc,28,3843,True,10,False,10,191,22,L3
abc,28,3937,True,5,False,9,100,66,L1
abc,28,4576,False,14,False,13,181,53,None
abc,28,3139,False,6,True,2,53,23,L2
